threshold,min_area,dice,iou,precision,recall,specificity,tp,fp,fn,tn
0.7,200,0.22808607424677857,0.12872299886551353,0.22446053231167662,0.23183066032307775,0.9988761579247718,12836,44350,42532,39418490
0.2,100,0.2272915748877388,0.1282171233991812,0.17721761972946842,0.31680754227501795,0.9979363117302252,17541,81439,37827,39381401
0.4,100,0.22726931503076298,0.1282029565820126,0.18265085616771443,0.30073327555084645,0.9981118439524373,16651,74512,38717,39388328
0.3,100,0.22724337423704807,0.12818644755878544,0.17995381745047023,0.3082466406713581,0.9980291839107374,17067,77774,38301,39385066
0.25,100,0.22723083809982336,0.1281784695882235,0.17877118118263693,0.3117324086239031,0.9979908187043812,17260,79288,38108,39383552
0.35,100,0.22652194431856992,0.12772751464207613,0.18071900347259398,0.3034243606541066,0.9980700324659858,16800,76162,38568,39386678
0.45,100,0.22626223658728523,0.12756239465633376,0.1828913811052011,0.2965973125397956,0.9981408079094156,16422,73369,38946,39389471
0.65,100,0.22535070069083665,0.12698323031193423,0.1866968830556508,0.284189423506643,0.9982630241513283,15735,68546,39633,39394294
0.55,100,0.22491723248397313,0.12670802545440624,0.18386467890844194,0.2895715937131634,0.9981966072386073,16033,71167,39335,39391673
0.6,100,0.22487601610747243,0.12668186456505323,0.1848431630338698,0.2870430573745296,0.9982239494167171,15893,70088,39475,39392752
0.7,100,0.2247816128552194,0.1266219494397325,0.1873351559116576,0.28093844821411396,0.9982900875861951,15555,67478,39813,39395362
0.5,100,0.2247116099200306,0.1265775246330396,0.182552668112721,0.29219043492103397,0.9981642730224181,16178,72443,39190,39390397
0.2,300,0.21901122300743853,0.12297170304768748,0.22570382722501958,0.21270408901869844,0.9989762014087177,11777,40402,43591,39422438
0.25,300,0.20971862150926643,0.1171428268412478,0.22112746572101477,0.19942927324087145,0.9990144399135997,11042,38893,44326,39423947
0.3,300,0.20421527678521087,0.11371924159602916,0.21801258791606676,0.1920603959111389,0.9990334451347141,10634,38143,44734,39424697
0.35,300,0.2002921414042235,0.1112914745891902,0.21731963993032163,0.18573905506455463,0.9990614461604892,10284,37038,45084,39425802
0.4,300,0.1981622053615845,0.10997782706086501,0.22166607080752446,0.179164860584107,0.9991173468508602,9920,34832,45448,39428008
0.55,50,0.19776029091897873,0.10973029277280437,0.14689245718942645,0.3025213119617374,0.9975349214602903,16750,97279,38618,39365561
0.5,50,0.1977487354957299,0.10972317755888983,0.14621218017634516,0.3053930068034714,0.9974979499701492,16909,98738,38459,39364102
0.45,50,0.19746328592888945,0.10954744188708487,0.1452738944680873,0.30817439677596853,0.9974560624628132,17063,100391,38305,39362449
