epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
57,0.725748,0.724940,0.125483,0.077381,0.00004122,0.008284,0.004159,0.004181,0.445125,0.424929,0.269784,0.435594,0.414774,0.000104,0.000052,0.000674,0.000056,0.068617,0.035527,0.095134,0.053660
58,0.724082,0.724460,0.119067,0.073927,0.00003970,0.007930,0.003981,0.004003,0.419164,0.424072,0.269093,0.460187,0.393213,0.000000,0.000000,0.000000,0.000000,0.044268,0.022635,0.066667,0.033136
59,0.723336,0.725316,0.119084,0.073149,0.00003819,0.007583,0.003806,0.003828,0.398058,0.412536,0.259871,0.478849,0.362356,0.000104,0.000052,0.000689,0.000056,0.056111,0.028865,0.080630,0.043027
60,0.723061,0.721796,0.116937,0.071142,0.00003669,0.007329,0.003678,0.003700,0.378008,0.398963,0.249191,0.503818,0.330235,0.000104,0.000052,0.000705,0.000056,0.061354,0.031648,0.089277,0.046736
61,0.721546,0.722792,0.140707,0.086154,0.00003520,0.008437,0.004236,0.004259,0.444491,0.430881,0.274601,0.426562,0.435290,0.000624,0.000312,0.004164,0.000337,0.122886,0.065466,0.157752,0.100643
62,0.720900,0.723026,0.129508,0.079761,0.00003373,0.008291,0.004163,0.004185,0.435416,0.428071,0.272322,0.436400,0.420054,0.000313,0.000156,0.002174,0.000169,0.081358,0.042404,0.115455,0.062809
63,0.720921,0.720476,0.129578,0.079654,0.00003228,0.008409,0.004222,0.004245,0.439215,0.425910,0.270576,0.421203,0.430724,0.000417,0.000208,0.002853,0.000225,0.083574,0.043610,0.119376,0.064293
64,0.720063,0.720315,0.134487,0.082241,0.00003084,0.008455,0.004246,0.004268,0.443014,0.424141,0.269149,0.410662,0.438535,0.000623,0.000312,0.004127,0.000337,0.104728,0.055258,0.138832,0.084075
65,0.719080,0.721665,0.141207,0.086181,0.00002942,0.008272,0.004153,0.004176,0.432883,0.426678,0.271195,0.428476,0.424894,0.001035,0.000518,0.006515,0.000562,0.128842,0.068857,0.158984,0.108309
66,0.719297,0.720527,0.136936,0.083709,0.00002803,0.008023,0.004027,0.004050,0.417265,0.425500,0.270244,0.448950,0.404378,0.000104,0.000052,0.000684,0.000056,0.114117,0.060511,0.153685,0.090752
67,0.718135,0.719726,0.133824,0.081456,0.00002665,0.007630,0.003830,0.003853,0.391515,0.417044,0.263459,0.495273,0.360156,0.000209,0.000104,0.001444,0.000112,0.110414,0.058433,0.150943,0.087043
68,0.718171,0.719992,0.137426,0.084446,0.00002530,0.008238,0.004136,0.004159,0.426129,0.433047,0.276363,0.435846,0.430284,0.000523,0.000262,0.003785,0.000281,0.107897,0.057025,0.146746,0.085312
69,0.717627,0.716916,0.141903,0.086572,0.00002398,0.008036,0.004034,0.004058,0.411355,0.426479,0.271035,0.435348,0.417964,0.001036,0.000518,0.006640,0.000562,0.132061,0.070699,0.166229,0.109545
70,0.716459,0.717660,0.136105,0.081829,0.00002268,0.007352,0.003689,0.003713,0.372098,0.400513,0.250401,0.497348,0.335240,0.000724,0.000362,0.004540,0.000393,0.135830,0.072864,0.170205,0.113007
71,0.716168,0.716850,0.143641,0.086438,0.00002140,0.007362,0.003695,0.003718,0.371465,0.405539,0.254342,0.519320,0.332655,0.002487,0.001245,0.015968,0.001349,0.159177,0.086470,0.192362,0.135757
72,0.715533,0.718520,0.145586,0.088910,0.00002016,0.008004,0.004018,0.004041,0.407767,0.429935,0.273832,0.462753,0.401463,0.000414,0.000207,0.002620,0.000225,0.143993,0.077582,0.182997,0.118694
73,0.714861,0.717880,0.145753,0.089176,0.00001895,0.008347,0.004191,0.004214,0.429295,0.432845,0.276198,0.435606,0.430119,0.000104,0.000052,0.000688,0.000056,0.141715,0.076261,0.187246,0.113996
74,0.715062,0.714746,0.144542,0.088048,0.00001777,0.007812,0.003921,0.003945,0.397003,0.425429,0.270187,0.481935,0.380782,0.000520,0.000260,0.003467,0.000281,0.144409,0.077824,0.189330,0.116716
75,0.715674,0.713886,0.149784,0.091451,0.00001661,0.008053,0.004043,0.004067,0.409244,0.431598,0.275183,0.473259,0.396678,0.000827,0.000414,0.005185,0.000450,0.158660,0.086165,0.198148,0.132295
76,0.714633,0.715795,0.154506,0.094541,0.00001550,0.008159,0.004096,0.004120,0.414521,0.437309,0.279843,0.460332,0.416479,0.002057,0.001030,0.012136,0.001124,0.170500,0.093195,0.203640,0.146637
77,0.714427,0.715288,0.157313,0.096347,0.00001442,0.008447,0.004242,0.004265,0.433094,0.440064,0.282104,0.432819,0.447555,0.002983,0.001494,0.017576,0.001630,0.177759,0.097549,0.212905,0.152572
