threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.22,5,0.6419288198624009,0.6002836602141984,0.6897830729633706,12274,8173,5520,2071185
0.34,10,0.6417715313057206,0.6226744186245944,0.662077104661005,11781,7139,6013,2072219
0.28,8,0.6415809854548917,0.6112666022283209,0.675059008672864,12012,7639,5782,2071719
0.2,5,0.6412503575887122,0.596785904467942,0.6928740024900037,12329,8330,5465,2071028
0.32,10,0.6411787051706415,0.619884575046176,0.6639878610956509,11815,7245,5979,2072113
0.3,10,0.6410041841101092,0.6167471819844815,0.6672473867782821,11873,7378,5921,2071980
0.28,10,0.6406463909043394,0.6132380903636755,0.6706193098982455,11933,7526,5861,2071832
0.24,8,0.640489303123266,0.605537198377614,0.6797235023221466,12095,7879,5699,2071479
0.26,8,0.6402638508487309,0.6077866990048081,0.6764077779208493,12036,7767,5758,2071591
0.22,8,0.64010533246504,0.6022496407709108,0.6830392267234439,12154,8027,5640,2071331
0.2,8,0.6394554261123326,0.5985981079555611,0.6862987524060752,12212,8189,5582,2071169
0.26,10,0.6393582887796964,0.6098133224722119,0.6719118804275648,11956,7650,5838,2071708
0.24,10,0.6389628367682099,0.6070308548504284,0.6744408227675374,12001,7769,5793,2071589
0.22,10,0.6383666119475037,0.6036157852762613,0.6773631561381722,12053,7915,5741,2071443
0.4,12,0.6383557839289444,0.6310471693135442,0.6458356749665148,11492,6719,6302,2072639
0.38,12,0.6379338980336065,0.6285729871465976,0.6475778352451625,11523,6809,6271,2072549
0.2,10,0.637570457787558,0.5999900852865363,0.680173092071475,12103,8069,5691,2071289
0.36,12,0.6371764446261611,0.6259488180640886,0.6488142070558158,11545,6899,6249,2072459
0.34,12,0.6369031265553903,0.6230380563522341,0.6513993481144543,11591,7013,6203,2072345
0.28,12,0.6363365559174496,0.6140699315520791,0.6602787456636912,11749,7384,6045,2071974
0.32,12,0.6363238272582976,0.6201984635285852,0.6533101045491002,11625,7119,6169,2072239
0.3,12,0.6361829025944011,0.6171730515393832,0.6564010340757334,11680,7245,6114,2072113
0.26,12,0.6352160543875703,0.6107365145430116,0.6617399123490086,11775,7505,6019,2071853
0.4,15,0.6347635382209199,0.6351564258589266,0.6343711363586394,11288,6484,6506,2072874
0.24,12,0.63467325882323,0.6080733189368719,0.6637068675023207,11810,7612,5984,2071746
0.38,15,0.6344576627114218,0.6320339077780361,0.6369000786986119,11333,6598,6461,2072760
0.22,12,0.6343000587610346,0.6043150824544924,0.6674159829342803,11876,7776,5918,2071582
0.36,15,0.6339191074021222,0.6293198936846854,0.6385860402585936,11363,6693,6431,2072665
0.2,12,0.6335255201096388,0.6008164088292689,0.6700011239929189,11922,7921,5872,2071437
0.34,15,0.6332110703669775,0.6262504122443525,0.6403282005372413,11394,6800,6400,2072558
0.28,15,0.6331088848844061,0.6171291355593848,0.649938181429137,11565,7175,6229,2072183
0.32,15,0.632642329311875,0.6232753449515583,0.6422951556905533,11429,6908,6365,2072450
0.3,15,0.6323966942250029,0.6202312763633291,0.6450488929051901,11478,7028,6316,2072330
0.26,15,0.6323284681589871,0.614442500418088,0.6512869506771223,11589,7272,6205,2072086
0.24,15,0.631616109506786,0.6111198696930411,0.6535348994237645,11629,7400,6165,2071958
0.22,15,0.6314311936610854,0.607521296509063,0.6573002135743903,11696,7556,6098,2071802
0.2,15,0.6304085085910238,0.6037347600389046,0.6595481623210325,11736,7703,6058,2071655
0.28,18,0.6288757002709835,0.6207840560873421,0.6371810722919422,11338,6926,6456,2072432
0.24,18,0.6288291261170096,0.6156579797751638,0.6425761492838835,11434,7138,6360,2072220
0.22,18,0.6286058021045962,0.6121199212092167,0.646004271122513,11495,7284,6299,2072074
0.4,18,0.6281001170230857,0.6380979994411077,0.6184107002574795,11004,6241,6790,2073117
0.26,18,0.6280425473234413,0.6176838215522155,0.6387546364145917,11366,7035,6428,2072323
0.32,18,0.6279813682129193,0.6271015467592972,0.6288636619293658,11190,6654,6604,2072704
0.36,18,0.6279392207456512,0.6323588077943604,0.6235809823747566,11096,6451,6698,2072907
0.34,18,0.6279371161427865,0.6296045197949376,0.6262785208707273,11144,6556,6650,2072802
0.38,18,0.627613872382497,0.6355517142243993,0.619871866942797,11030,6325,6764,2073033
0.2,18,0.6275404847400408,0.607469752782353,0.6489828032118139,11548,7462,6246,2071896
0.3,18,0.6274520746818246,0.6231225406183494,0.6318421940186668,11243,6800,6551,2072558
0.2,20,0.6230940410554385,0.6095135716415204,0.6372934697292743,11340,7265,6454,2072093
0.22,20,0.6229426571983363,0.6133899874917803,0.6327975722359898,11260,7097,6534,2072261
0.28,20,0.622541052524168,0.6208361278995732,0.6242553669987493,11108,6784,6686,2072574
0.24,20,0.62248672099829,0.6161299201972954,0.628976059366698,11192,6973,6602,2072385
0.4,20,0.622380842746305,0.6378761062160545,0.6076205462735967,10812,6138,6982,2073220
0.26,20,0.6223760607519435,0.6183028286401385,0.6265033157453915,11148,6882,6646,2072476
0.36,20,0.6223364753035608,0.6327834572704006,0.6122288412042133,10894,6322,6900,2073036
0.34,20,0.6221931669711162,0.6294570968697115,0.6150949758561821,10945,6443,6849,2072915
0.38,20,0.6221610461223285,0.6352031854060661,0.6096437001455747,10848,6230,6946,2073128
0.32,20,0.6216507109380375,0.626656007330593,0.6167247386974978,10974,6538,6820,2072820
0.3,20,0.6212535596576746,0.6233802976504623,0.6191412836001382,11017,6656,6777,2072702
