threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.6,41,0.40566037744609956,0.5021897812035805,0.3402571712808464,1376,1364,2668,2091744
0.45,16,0.4055944056792358,0.4795815054068237,0.35138476771726396,1421,1542,2623,2091566
0.45,22,0.4055944056792358,0.4795815054068237,0.35138476771726396,1421,1542,2623,2091566
0.5,16,0.405132641377576,0.4858229600671429,0.3474282889843155,1405,1487,2639,2091621
0.425,16,0.405002131674719,0.47611092566785473,0.3523738874005011,1425,1568,2619,2091540
0.425,22,0.405002131674719,0.47611092566785473,0.3523738874005011,1425,1568,2619,2091540
0.45,10,0.40484330492808496,0.47748655931536077,0.35138476771726396,1421,1555,2623,2091553
0.525,16,0.4046861441416421,0.48745644617161804,0.3459446094594598,1399,1471,2645,2091637
0.5,10,0.4045493810243954,0.48414886303096183,0.3474282889843155,1405,1497,2639,2091611
0.475,16,0.4045330656427294,0.48172189973292734,0.34866468858836186,1410,1517,2634,2091591
0.475,22,0.4045330656427294,0.48172189973292734,0.34866468858836186,1410,1517,2634,2091591
0.6,10,0.4044679601110423,0.49855072481936574,0.3402571712808464,1376,1384,2668,2091724
0.6,16,0.4044679601110423,0.49855072481936574,0.3402571712808464,1376,1384,2668,2091724
0.35,22,0.404201680755714,0.4660852714902826,0.35682492597506804,1443,1653,2601,2091455
0.35,29,0.404201680755714,0.4660852714902826,0.35682492597506804,1443,1653,2601,2091455
0.425,10,0.40419798618576114,0.4738942469325261,0.3523738874005011,1425,1582,2619,2091526
0.4,22,0.4041890745253058,0.4725347453763949,0.3531157271629289,1428,1594,2616,2091514
0.4,29,0.4041890745253058,0.4725347453763949,0.3531157271629289,1428,1594,2616,2091514
0.525,10,0.4041016754182406,0.48576388906744317,0.3459446094594598,1399,1481,2645,2091627
0.475,10,0.4038957319673595,0.47991831195373785,0.34866468858836186,1410,1528,2634,2091580
0.375,22,0.40349640499034306,0.46933420811107446,0.35385756692535675,1431,1618,2613,2091490
0.375,29,0.40349640499034306,0.46933420811107446,0.35385756692535675,1431,1618,2613,2091490
0.4,10,0.40327591084393166,0.4700460831237505,0.3531157271629289,1428,1610,2616,2091498
0.4,16,0.40327591084393166,0.4700460831237505,0.3531157271629289,1428,1610,2616,2091498
0.35,10,0.4031289287046893,0.46324237577424004,0.35682492597506804,1443,1672,2601,2091436
0.35,16,0.4031289287046893,0.46324237577424004,0.35682492597506804,1443,1672,2601,2091436
0.375,10,0.40258826847621487,0.4668841763566447,0.35385756692535675,1431,1634,2613,2091474
0.375,16,0.40258826847621487,0.4668841763566447,0.35385756692535675,1431,1634,2613,2091474
0.55,60,0.3994653995545789,0.5000000001858736,0.3325914937357588,1345,1345,2699,2091763
0.575,60,0.39922422804725877,0.5031966906719832,0.3308605342900939,1338,1321,2706,2091787
0.6,60,0.3980844059565872,0.5041698258134307,0.32888229492361964,1330,1308,2714,2091800
0.45,54,0.396696609765764,0.47900629829286,0.3385262118351815,1369,1489,2675,2091619
0.45,60,0.396696609765764,0.47900629829286,0.3385262118351815,1369,1489,2675,2091619
0.425,54,0.39624548745180566,0.4762235336771179,0.3392680515976093,1372,1509,2672,2091599
0.425,60,0.39624548745180566,0.4762235336771179,0.3392680515976093,1372,1509,2672,2091599
0.55,54,0.39599587819873455,0.4892688252130707,0.3325914937357588,1345,1404,2699,2091704
0.5,54,0.3959643223576598,0.4844364939232786,0.33481701302304234,1354,1441,2690,2091667
0.5,60,0.3959643223576598,0.4844364939232786,0.33481701302304234,1354,1441,2690,2091667
0.575,54,0.3957409051470362,0.4922737308711282,0.3308605342900939,1338,1380,2706,2091728
0.475,54,0.3956907847727921,0.4810619470863498,0.3360534126270887,1359,1466,2685,2091642
0.475,60,0.3956907847727921,0.4810619470863498,0.3360534126270887,1359,1466,2685,2091642
0.4,54,0.39562652864398984,0.4729962162115597,0.3400098913600372,1375,1532,2669,2091576
0.4,60,0.39562652864398984,0.4729962162115597,0.3400098913600372,1375,1532,2669,2091576
0.525,54,0.3954272315117357,0.4854264125637185,0.3335806134189959,1349,1430,2695,2091678
0.525,60,0.3954272315117357,0.4854264125637185,0.3335806134189959,1349,1430,2695,2091678
0.35,60,0.39532230470688495,0.4669811322550603,0.3427299704889392,1386,1582,2658,2091526
0.375,60,0.3948387097641808,0.46980552730474057,0.34050445120165573,1377,1554,2667,2091554
0.6,48,0.39477589798237217,0.4936896809600262,0.32888229492361964,1330,1364,2714,2091744
0.6,54,0.39477589798237217,0.4936896809600262,0.32888229492361964,1330,1364,2714,2091744
