threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.52,8,0.5624963983298998,0.5906807867116078,0.5368791595876531,9761,6764,8420,2072207
0.55,10,0.5624963546350978,0.5986715500900943,0.5304438699999756,9644,6465,8537,2072506
0.37,22,0.562455952426847,0.5769141799920823,0.5487046917359494,9976,7316,8205,2071655
0.34,20,0.5624199922201141,0.5691995719276066,0.5558000110249272,10105,7648,8076,2071323
0.46,20,0.5624169603268899,0.5921780913817786,0.5355040977099442,9736,6705,8445,2072266
0.43,12,0.5624101682619167,0.5766963357082016,0.5488146966861661,9978,7324,8203,2071647
0.43,20,0.5623800933607542,0.5865487994512872,0.540124305619046,9820,6922,8361,2072049
0.46,22,0.5623406720868384,0.5940388028891586,0.5338540234566936,9706,6633,8475,2072338
0.55,8,0.562334680127828,0.5962889902850272,0.5320389417781178,9673,6549,8508,2072422
0.34,12,0.5623326228463045,0.5587899853604089,0.5659204664448644,10289,8124,7892,2070847
0.31,22,0.5622858406222426,0.5650024990523128,0.5595951818074036,10174,7833,8007,2071138
0.4,22,0.5621603164339367,0.5823605707120411,0.5433144491753306,9878,7084,8303,2071887
0.46,12,0.5621372482200371,0.5822478929933254,0.5433694516504389,9879,7088,8302,2071883
0.34,15,0.5620738948877811,0.5618576532255093,0.562290303087713,10223,7972,7958,2070999
0.43,22,0.5620423283587846,0.5880302848462907,0.538254221465362,9786,6856,8395,2072115
0.34,10,0.5620366332435118,0.5570865078317887,0.5670755184221399,10310,8197,7871,2070774
0.34,8,0.5619762759940696,0.5560161507641445,0.5680655629740903,10328,8247,7853,2070724
0.34,5,0.5619543408827625,0.5541414897837473,0.5699906496028827,10363,8338,7818,2070633
0.31,12,0.5619356582978661,0.5525546281273563,0.5716407238561333,10393,8416,7788,2070555
0.52,10,0.5618445003160312,0.5917833232141337,0.5347890655335357,9723,6707,8458,2072264
0.52,20,0.5618056988077377,0.6050393501139224,0.5243385952629482,9533,6223,8648,2072748
0.31,10,0.5617953282742139,0.5512094426744716,0.5727957758334088,10414,8479,7767,2070492
0.28,22,0.5616970094701849,0.5583392207185295,0.5650954293182391,10274,8127,7907,2070844
0.43,25,0.5616790323172817,0.5910803257023284,0.5350640779090774,9728,6730,8453,2072241
0.31,20,0.5616423257216412,0.562758849215155,0.5605302238842457,10191,7918,7990,2071053
0.34,18,0.5616131441495419,0.5648787002245227,0.5583851273550198,10152,7820,8029,2071151
0.31,8,0.5616018085052585,0.5498234705406638,0.5738958253355758,10434,8543,7747,2070428
0.55,18,0.5615813181732581,0.6088157810442193,0.5211484517066637,9475,6088,8706,2072883
0.31,5,0.561551252492583,0.5479717351715273,0.5758209119643682,10469,8636,7712,2070335
0.31,15,0.5614426372310982,0.5553403282456099,0.5676805456483317,10321,8264,7860,2070707
0.28,25,0.5613041565988205,0.5610882110711136,0.5615202684361961,10209,7986,7972,2070985
0.49,25,0.5611201179200849,0.6045477642527599,0.5235135581363229,9518,6226,8663,2072745
0.55,20,0.5611125969640988,0.610277957361973,0.5192783675529796,9441,6029,8740,2072942
0.28,12,0.5607651412048632,0.5451948052184314,0.5772509763171855,10495,8755,7686,2070216
0.37,25,0.5607381410743593,0.5775756515901361,0.5448545184783645,9906,7245,8275,2071726
0.25,25,0.5606917555046581,0.5544501210242296,0.5670755184221399,10310,8285,7871,2070686
0.31,18,0.5606466058773238,0.5566943224577466,0.5646554095173723,10266,8175,7915,2070796
0.28,8,0.5606060606177404,0.5424661762671709,0.5800011000726032,10545,8894,7636,2070077
0.28,10,0.5605207694271931,0.5442441198039455,0.577801001068269,10505,8797,7676,2070174
0.46,25,0.5604225639956687,0.5969165734429369,0.5281337660454247,9602,6484,8579,2072487
0.28,5,0.5602649006739002,0.5403955235556035,0.5816511743258539,10575,8994,7606,2069977
0.28,20,0.5602043034242501,0.5534976110187633,0.5670755184221399,10310,8317,7871,2070654
0.55,22,0.5601763584497088,0.6110352895554017,0.5171332710237537,9402,5985,8779,2072986
0.34,25,0.5601526974804875,0.5719690455963331,0.5488146966861661,9978,7467,8203,2071504
0.28,18,0.5601101749956764,0.5501564903957267,0.5704306694037495,10371,8480,7810,2070491
0.25,8,0.5599852829213428,0.5361852038482041,0.5859963698594138,10654,9216,7527,2069755
0.55,25,0.5599639585655515,0.61677914518878,0.5127330730150854,9322,5792,8859,2073179
0.25,22,0.5598833913796021,0.5497190713691446,0.5704306694037495,10371,8495,7810,2070476
0.28,15,0.5598431751776406,0.5469619057851316,0.5733458005844922,10424,8634,7757,2070337
0.52,25,0.559764159384201,0.6102850464508613,0.5169682635984287,9399,6002,8782,2072969
0.25,18,0.5594633598920449,0.5441077091259496,0.5757109070141515,10467,8770,7714,2070201
0.25,12,0.5593991325621654,0.5387397483806867,0.5817061768009623,10576,9055,7605,2069916
0.25,10,0.5593037056690148,0.5372960373194844,0.5831912436288877,10603,9131,7578,2069840
0.25,5,0.5586949121590329,0.5331867253332074,0.5867664045109309,10668,9340,7513,2069631
