threshold,min_area,dice,precision,recall,tp,fp,fn,tn
0.325,4,0.11652968039756968,0.07045986663115873,0.3366399326009624,1595,21042,3143,2071372
0.25,7,0.1163343258709635,0.06783346781705892,0.40818910945373804,1934,26577,2804,2065837
0.3,6,0.11607633171622472,0.06930895978894545,0.35690164639997857,1691,22707,3047,2069707
0.225,8,0.11603078708058069,0.06673859924893724,0.4438581681207559,2103,29408,2635,2063006
0.35,0,0.11598986723282452,0.07088571969080101,0.3189109330268234,1511,19805,3227,2072609
0.35,1,0.11598986723282452,0.07088571969080101,0.3189109330268234,1511,19805,3227,2072609
0.2,7,0.11581437489642103,0.06574661411892832,0.48564795283122664,2301,32697,2437,2059717
0.275,7,0.11571742221633353,0.06830830223876236,0.3782186577926934,1792,24442,2946,2067972
0.35,2,0.11536541345230748,0.07051312149333304,0.3170113973581656,1502,19799,3236,2072615
0.25,8,0.11502425212800818,0.0670883852023515,0.40291262148524426,1909,26546,2829,2065868
0.175,0,0.11430727573324662,0.06387042367635999,0.5434782609659184,2575,37741,2163,2054673
0.175,1,0.11430727573324662,0.06387042367635999,0.5434782609659184,2575,37741,2163,2054673
0.325,5,0.11429617429565088,0.06914116140013549,0.3294639089638109,1561,21016,3177,2071398
0.3,7,0.11422873257980094,0.0682303648098821,0.350569860837786,1661,22683,3077,2069731
0.175,3,0.11420185446569717,0.06382502798399838,0.5420008443347402,2568,37667,2170,2054747
0.35,3,0.1141824613004428,0.06980679739247841,0.3134233855395898,1485,19788,3253,2072626
0.175,2,0.1141295897484589,0.06377696683141489,0.54221190385348,2569,37712,2169,2054702
0.2,8,0.11396140751383627,0.06471481367448606,0.4767834530441571,2259,32648,2479,2059766
0.175,4,0.1135604542615551,0.06347704871394312,0.5382017729974247,2550,37622,2188,2054792
0.35,4,0.11344133608675716,0.0693679703012204,0.31110173083345255,1474,19775,3264,2072639
0.175,5,0.11320333766647622,0.06329208664147061,0.5354579992538079,2537,37547,2201,2054867
0.175,6,0.11295295118375066,0.06316210276176389,0.5335584635851501,2528,37496,2210,2054918
0.325,6,0.11289198609525428,0.06831801841930493,0.32482059955153636,1539,20988,3199,2071426
0.275,8,0.11274351177552444,0.06658003366967666,0.36766568185570586,1742,24422,2996,2067992
0.3,8,0.11265761733919046,0.0673171937142903,0.3450823133505525,1635,22653,3103,2069761
0.35,5,0.11205733886508969,0.06854287469624556,0.30688054045865754,1454,19759,3284,2072655
0.175,7,0.11200179133201967,0.06264716198931297,0.5278598565791769,2501,37421,2237,2054993
0.175,8,0.11192421659531462,0.06262245669272488,0.5261713804292588,2493,37317,2245,2055097
0.325,7,0.11125409025658096,0.0673612039059988,0.31933305206430285,1513,20948,3225,2071466
0.35,6,0.1103219331772438,0.06750755862303914,0.30160405249016375,1429,19739,3309,2072675
0.325,8,0.10932949983009585,0.06623196824321237,0.31300126650211035,1483,20908,3255,2071506
0.35,7,0.108746130065451,0.06658136673933365,0.29653862404040976,1405,19697,3333,2072717
0.35,8,0.10769290456190816,0.06597271737886912,0.292950612221834,1388,19651,3350,2072763
0.15,8,0.09980550543884276,0.05442072881251943,0.6010975095818705,2848,49485,1890,2042929
0.15,6,0.09977788576560391,0.054358101738431495,0.6067961165878437,2875,50015,1863,2042399
0.15,7,0.09976271897725308,0.05437635514750701,0.6034191642880077,2859,49719,1879,2042695
0.15,3,0.09976247032417228,0.0542756735825984,0.6160827354123928,2919,50862,1819,2041552
0.15,4,0.09967359561759709,0.05425269301589144,0.6122836640750773,2901,50571,1837,2041843
0.15,2,0.09952227947332548,0.05412051847985281,0.6177712115623107,2927,51156,1811,2041258
0.15,5,0.0994509479073958,0.054155697648473944,0.6078514141815424,2880,50300,1858,2042114
0.15,0,0.09914004292859924,0.05388330794560461,0.619248628193489,2934,51517,1804,2040897
0.15,1,0.09914004292859924,0.05388330794560461,0.619248628193489,2934,51517,1804,2040897
0.125,7,0.02532651447298277,0.012885804476229935,0.7332207683129546,3474,266125,1264,1826289
0.125,2,0.02532320405522359,0.012881450348649806,0.7418742085812844,3515,269358,1223,1823056
0.125,6,0.025316179601552576,0.012879934013409335,0.7349092444628726,3482,266861,1256,1825553
0.125,3,0.025310788320839297,0.012875662613510168,0.7397636133938869,3505,268714,1233,1823700
0.125,8,0.025305913726758573,0.012875791731047324,0.731110173125557,3464,265568,1274,1826846
0.125,4,0.02528630789853159,0.012863761245155874,0.7372308991690099,3493,268045,1245,1824369
0.125,5,0.025285138001620553,0.0128636709299018,0.7355424230190919,3485,267433,1253,1824981
0.125,0,0.02526116472823713,0.012848903177156354,0.7433516252124627,3522,270587,1216,1821827
0.125,1,0.02526116472823713,0.012848903177156354,0.7433516252124627,3522,270587,1216,1821827
0.1,4,0.008245043803277983,0.004140514032608146,0.9487125369462405,4495,1081119,243,1011295
0.1,6,0.008243262612955994,0.004139651886278485,0.9468130012775827,4486,1079180,252,1013234
0.1,5,0.00824258534563029,0.004139294163683604,0.9476572393525418,4490,1080236,248,1012178
0.1,3,0.008240502492020801,0.004138211480267008,0.9493457155024597,4498,1082445,240,1009969
0.1,8,0.008233808500898086,0.004134935910800628,0.9440692275339659,4473,1077285,265,1015129
0.1,2,0.008233125524053779,0.004134482781712968,0.9497678345399393,4500,1083907,238,1008507
0.1,7,0.008230808422638465,0.0041334146170434,0.9444913465714455,4475,1078165,263,1014249
0.1,0,0.00822114928178325,0.004128434478751559,0.9501899535774188,4502,1085984,236,1006430
0.1,1,0.00822114928178325,0.004128434478751559,0.9501899535774188,4502,1085984,236,1006430
