epoch,train_loss,val_loss,val_dice_mean,val_iou_mean,lr,dice_MA,iou_MA,prec_MA,recall_MA,dice_HE,iou_HE,prec_HE,recall_HE,dice_EX,iou_EX,prec_EX,recall_EX,dice_SE,iou_SE,prec_SE,recall_SE
45,0.591103,0.593218,0.113397,0.061461,0.00028371,0.004553,0.002281,0.002282,0.982271,0.155447,0.084274,0.085786,0.827017,0.109689,0.058027,0.058193,0.953186,0.183901,0.101261,0.163308,0.210435
46,0.589940,0.590479,0.149782,0.085078,0.00027997,0.004532,0.002271,0.002271,0.999156,0.105251,0.055549,0.055781,0.930257,0.315470,0.187275,0.192614,0.871080,0.173876,0.095216,0.099280,0.699308
47,0.588735,0.588159,0.145481,0.081348,0.00027588,0.004558,0.002284,0.002284,0.995779,0.178443,0.097962,0.101308,0.747814,0.271765,0.157250,0.159591,0.914690,0.127158,0.067896,0.071137,0.598417
48,0.587070,0.586940,0.136613,0.076610,0.00027145,0.004568,0.002289,0.002289,0.992402,0.179432,0.098558,0.100697,0.822727,0.278500,0.161777,0.164230,0.915477,0.083952,0.043815,0.045198,0.588773
49,0.586447,0.585961,0.174877,0.098942,0.00026668,0.004566,0.002288,0.002288,0.991769,0.223034,0.125514,0.129643,0.797591,0.260878,0.150005,0.151755,0.928628,0.211030,0.117962,0.131180,0.539318
50,0.585060,0.587079,0.138905,0.077002,0.00026160,0.004569,0.002290,0.002290,0.990080,0.232605,0.131609,0.137056,0.768055,0.200854,0.111638,0.112253,0.953243,0.117592,0.062469,0.064900,0.625124
51,0.582900,0.583591,0.223524,0.132762,0.00025621,0.004549,0.002280,0.002280,0.998100,0.225435,0.127037,0.132347,0.759969,0.396373,0.247173,0.257767,0.857424,0.267739,0.154560,0.184211,0.489862
52,0.585128,0.578917,0.204619,0.121544,0.00025054,0.004564,0.002287,0.002287,0.996201,0.188885,0.104292,0.106314,0.845773,0.417488,0.263813,0.277581,0.841744,0.207541,0.115785,0.134581,0.453264
53,0.581037,0.579443,0.216146,0.129197,0.00024458,0.004552,0.002281,0.002281,0.996834,0.210234,0.117464,0.120285,0.833563,0.428251,0.272468,0.288416,0.831291,0.221547,0.124573,0.142664,0.495549
54,0.582208,0.579167,0.244166,0.145928,0.00023837,0.004563,0.002287,0.002287,0.995357,0.293685,0.172116,0.186609,0.689071,0.369791,0.226837,0.233729,0.884961,0.308627,0.182472,0.215072,0.546241
55,0.578693,0.579471,0.242607,0.153835,0.00023192,0.004546,0.002278,0.002278,0.998100,0.261511,0.150424,0.157018,0.781750,0.549134,0.378487,0.434046,0.747274,0.155238,0.084151,0.097988,0.373393
56,0.578327,0.575375,0.210220,0.123379,0.00022525,0.004568,0.002289,0.002289,0.993668,0.206007,0.114832,0.117243,0.848083,0.367487,0.225105,0.233125,0.867427,0.262819,0.151290,0.164654,0.650841
57,0.577675,0.573301,0.243726,0.149155,0.00021837,0.004561,0.002286,0.002286,0.996412,0.225589,0.127135,0.130992,0.811947,0.474059,0.310667,0.330311,0.839328,0.270694,0.156533,0.194628,0.444362
58,0.575549,0.575667,0.254153,0.156024,0.00021131,0.004558,0.002284,0.002284,0.995990,0.268651,0.155169,0.161879,0.789176,0.475846,0.312204,0.338747,0.799371,0.267558,0.154440,0.177352,0.544510
59,0.572977,0.572667,0.276628,0.170997,0.00020408,0.004560,0.002285,0.002285,0.996201,0.330395,0.197888,0.211674,0.752379,0.464042,0.302119,0.320590,0.839834,0.307517,0.181696,0.229028,0.467854
60,0.574990,0.566573,0.271314,0.167578,0.00019670,0.004563,0.002287,0.002287,0.994512,0.312004,0.184837,0.194156,0.793851,0.472634,0.309444,0.328593,0.841520,0.296054,0.173746,0.213940,0.480465
61,0.570900,0.565882,0.252870,0.155554,0.00018919,0.004565,0.002288,0.002288,0.993879,0.268559,0.155107,0.161175,0.804686,0.483297,0.318650,0.341779,0.824829,0.255060,0.146171,0.161185,0.610781
